Budget_ID,Date_ID,Product_ID,Business_Unit_ID,Region_ID,Department_ID,Budget_Category,Budget_Amount,Forecast_Amount,Scenario,Budget_Version
BUD000001,20240101,P001,BU001,REG001,DEP001,Revenue,6578625.36,6909418.63,Base,Original
BUD000002,20240101,P001,BU001,REG001,DEP006,COGS,3219140.25,3129034.62,Base,Original
BUD000003,20240101,P001,BU001,REG001,DEP002,OPEX,2109310.44,2232631.7,Base,Original
BUD000004,20240101,P001,BU001,REG001,DEP003,EBITDA,1575314.11,1584919.66,Base,Original
BUD000005,20240101,P001,BU001,REG001,DEP003,Cash Inflow,6202773.09,6511463.74,Base,Original
BUD000006,20240101,P001,BU001,REG001,DEP003,Cash Outflow,5058556.42,5263547.34,Base,Original
BUD000007,20240101,P001,BU001,REG002,DEP001,Revenue,5452119.01,5320161.18,Base,Original
BUD000008,20240101,P001,BU001,REG002,DEP006,COGS,2413213.44,2359266.41,Base,Original
BUD000009,20240101,P001,BU001,REG002,DEP002,OPEX,1706488.7,1795178.29,Base,Original
BUD000010,20240101,P001,BU001,REG002,DEP003,EBITDA,1151694.5,1061022.93,Base,Original
BUD000011,20240101,P001,BU001,REG002,DEP003,Cash Inflow,4978103.44,4793412.98,Base,Original
BUD000012,20240101,P001,BU001,REG002,DEP003,Cash Outflow,3921304.93,4119390.52,Base,Original
BUD000013,20240101,P001,BU001,REG003,DEP001,Revenue,3629473.16,3923080.86,Base,Original
BUD000014,20240101,P001,BU001,REG003,DEP006,COGS,1656382.54,1830019.62,Base,Original
BUD000015,20240101,P001,BU001,REG003,DEP002,OPEX,1139309.82,1219789.36,Base,Original
BUD000016,20240101,P001,BU001,REG003,DEP003,EBITDA,943639.42,971173.42,Base,Original
BUD000017,20240101,P001,BU001,REG003,DEP003,Cash Inflow,3361325.21,3734009.9,Base,Original
BUD000018,20240101,P001,BU001,REG003,DEP003,Cash Outflow,2888893.73,2962971.6,Base,Original
BUD000019,20240101,P001,BU001,REG004,DEP001,Revenue,1264330.44,1309535.48,Base,Original
BUD000020,20240101,P001,BU001,REG004,DEP006,COGS,659875.66,616909.53,Base,Original
BUD000021,20240101,P001,BU001,REG004,DEP002,OPEX,415192.45,427405.31,Base,Original
BUD000022,20240101,P001,BU001,REG004,DEP003,EBITDA,254696.11,248035.48,Base,Original
BUD000023,20240101,P001,BU001,REG004,DEP003,Cash Inflow,1146787.1,1199250.89,Base,Original
BUD000024,20240101,P001,BU001,REG004,DEP003,Cash Outflow,1056663.34,1089676.44,Base,Original
BUD000025,20240101,P005,BU002,REG001,DEP001,Revenue,7207508.23,7923205.69,Base,Original
BUD000026,20240101,P005,BU002,REG001,DEP006,COGS,3937047.67,3653992.19,Base,Original
BUD000027,20240101,P005,BU002,REG001,DEP005,OPEX,2550051.21,2802835.57,Base,Original
BUD000028,20240101,P005,BU002,REG001,DEP003,EBITDA,1364607.93,1402794.31,Base,Original
BUD000029,20240101,P005,BU002,REG001,DEP003,Cash Inflow,6956377.24,7458744.69,Base,Original
BUD000030,20240101,P005,BU002,REG001,DEP003,Cash Outflow,5926929.03,6273667.1,Base,Original
BUD000031,20240101,P005,BU002,REG002,DEP001,Revenue,5685054.57,5771311.88,Base,Original
BUD000032,20240101,P005,BU002,REG002,DEP006,COGS,2825488.74,2532840.0,Base,Original
BUD000033,20240101,P005,BU002,REG002,DEP005,OPEX,1827271.55,1966510.86,Base,Original
BUD000034,20240101,P005,BU002,REG002,DEP003,EBITDA,1214071.68,1142433.77,Base,Original
BUD000035,20240101,P005,BU002,REG002,DEP003,Cash Inflow,5519696.33,5630473.56,Base,Original
BUD000036,20240101,P005,BU002,REG002,DEP003,Cash Outflow,4297465.86,4564210.1,Base,Original
BUD000037,20240101,P005,BU002,REG003,DEP001,Revenue,4881774.57,5424751.33,Base,Original
BUD000038,20240101,P005,BU002,REG003,DEP006,COGS,2315116.93,2420238.68,Base,Original
BUD000039,20240101,P005,BU002,REG003,DEP005,OPEX,1797941.08,1932395.63,Base,Original
BUD000040,20240101,P005,BU002,REG003,DEP003,EBITDA,978511.35,983094.26,Base,Original
BUD000041,20240101,P005,BU002,REG003,DEP003,Cash Inflow,4764193.7,5188706.74,Base,Original
BUD000042,20240101,P005,BU002,REG003,DEP003,Cash Outflow,4191216.8,4376530.34,Base,Original
BUD000043,20240101,P005,BU002,REG004,DEP001,Revenue,1402946.97,1445627.95,Base,Original
BUD000044,20240101,P005,BU002,REG004,DEP006,COGS,588555.33,613797.11,Base,Original
BUD000045,20240101,P005,BU002,REG004,DEP005,OPEX,494194.43,536230.54,Base,Original
BUD000046,20240101,P005,BU002,REG004,DEP003,EBITDA,313269.98,310352.35,Base,Original
BUD000047,20240101,P005,BU002,REG004,DEP003,Cash Inflow,1332321.89,1349806.91,Base,Original
BUD000048,20240101,P005,BU002,REG004,DEP003,Cash Outflow,1065785.15,1127232.98,Base,Original
BUD000049,20240101,P009,BU003,REG001,DEP001,Revenue,7689910.46,7946753.94,Base,Original
BUD000050,20240101,P009,BU003,REG001,DEP006,COGS,3339864.52,3405969.75,Base,Original
BUD000051,20240101,P009,BU003,REG001,DEP005,OPEX,2449365.64,2711671.85,Base,Original
BUD000052,20240101,P009,BU003,REG001,DEP003,EBITDA,2115404.34,2040410.52,Base,Original
BUD000053,20240101,P009,BU003,REG001,DEP003,Cash Inflow,7420642.3,7676123.01,Base,Original
BUD000054,20240101,P009,BU003,REG001,DEP003,Cash Outflow,5824234.52,6172612.14,Base,Original
