Transaction_ID,Date_ID,Product_ID,Business_Unit_ID,Region_ID,Department_ID,Customer_Segment,Sales_Channel,Units_Sold,Unit_Price,Discount_Amount,Revenue,COGS,Gross_Profit,Gross_Margin_Pct,OPEX,EBITDA,Cash_Inflow,Cash_Outflow,Net_Cashflow
TXN000001,20240131,P002,BU001,REG003,DEP003,Mid-Market,Direct Sales,1,27865.3,1860.15,26005.15,12216.02,13789.13,0.5302,3849.19,9939.94,27275.6,15264.69,12010.91
TXN000002,20240127,P001,BU001,REG002,DEP001,Mid-Market,Direct Sales,4,48858.96,19048.5,176387.34,77960.71,98426.63,0.558,73841.73,24584.9,177096.09,147705.21,29390.88
TXN000003,20240119,P003,BU001,REG003,DEP003,Enterprise,Direct Sales,1,19247.38,2069.4,17177.98,8427.04,8750.94,0.5094,2603.84,6147.1,14921.72,10258.59,4663.13
TXN000004,20240102,P003,BU001,REG003,DEP006,Enterprise,Direct Sales,3,20353.55,6368.17,54692.48,25797.15,28895.33,0.5283,12221.85,16673.48,53666.77,40848.41,12818.36
TXN000005,20240131,P001,BU001,REG001,DEP007,Mid-Market,Partner Sales,1,47643.12,4759.83,42883.29,20876.77,22006.52,0.5132,9552.59,12453.93,36743.94,31050.85,5693.09
TXN000006,20240114,P003,BU001,REG004,DEP006,Enterprise,Direct Sales,1,21242.77,2565.74,18677.03,8554.57,10122.46,0.542,4316.87,5805.59,18752.44,11928.7,6823.74
TXN000007,20240109,P004,BU001,REG003,DEP006,Small Business,Partner Sales,3,42749.87,7737.01,120512.6,54975.15,65537.45,0.5438,30451.67,35085.78,121699.0,88738.98,32960.02
TXN000008,20240128,P001,BU001,REG003,DEP003,Mid-Market,Online Sales,3,46798.65,6664.13,133731.82,59746.0,73985.82,0.5532,17533.08,56452.74,129784.33,82652.55,47131.78
TXN000009,20240124,P003,BU001,REG001,DEP001,Mid-Market,Direct Sales,1,18743.69,1870.48,16873.21,8263.75,8609.46,0.5102,7025.17,1584.29,17233.83,14486.36,2747.47
TXN000010,20240124,P001,BU001,REG002,DEP007,Small Business,Direct Sales,4,46922.61,7404.62,180285.82,80928.9,99356.92,0.5511,46629.23,52727.69,156772.34,118644.38,38127.96
TXN000011,20240109,P003,BU001,REG001,DEP001,Mid-Market,Direct Sales,2,20382.62,3225.26,37539.98,17252.19,20287.79,0.5404,16015.47,4272.32,33980.62,29998.23,3982.39
TXN000012,20240131,P002,BU001,REG004,DEP007,Small Business,Partner Sales,2,28185.45,3205.85,53165.05,23092.68,30072.37,0.5656,14173.74,15898.63,49594.25,33891.95,15702.3
TXN000013,20240115,P001,BU001,REG002,DEP001,Mid-Market,Direct Sales,2,52819.06,6620.66,99017.46,40144.35,58873.11,0.5946,43432.15,15440.96,85005.66,87960.11,-2954.45
TXN000014,20240117,P004,BU001,REG003,DEP007,Small Business,Online Sales,2,41627.34,1142.11,82112.57,36169.88,45942.69,0.5595,21571.17,24371.52,77156.52,63367.18,13789.34
TXN000015,20240124,P001,BU001,REG002,DEP007,Enterprise,Direct Sales,1,52558.47,5735.11,46823.36,19738.53,27084.83,0.5784,10589.94,16494.89,42283.49,27567.85,14715.64
TXN000016,20240121,P003,BU001,REG001,DEP002,Mid-Market,Partner Sales,2,20083.39,4237.77,35929.01,16838.61,19090.4,0.5313,12521.31,6569.09,33361.77,30816.59,2545.18
